company,snapshot_date_from,snapshot_date_to,shareholder_name,previous_shares,previous_capital,subscription_change,expected_shares,pdf_disclosed_shares,difference,status,detail
001282_三联锻造,2004-06-18,2014-05,孙国奉,,175.0,,,,,PASS,
001282_三联锻造,2004-06-18,2014-05,张松满,,162.5,,,,,PASS,
001282_三联锻造,2004-06-18,2014-05,孙国敏,,162.5,,,,,PASS,退出
301563_云汉芯城,2008-05-07,2014-08,深圳市云汉电子有限公司,,25.0,,,,,PASS,退出
301563_云汉芯城,2008-05-07,2014-08,芜湖富海浩研创业投资基金（有限合伙）,,,,,,,PASS,新增
301563_云汉芯城,2008-05-07,2014-08,武汉力源信息技术股份有限公司,,,,,,,PASS,新增
301563_云汉芯城,2008-05-07,2014-08,东方富海（上海）创业投资企业（有限合伙）,,,,,,,PASS,新增
301563_云汉芯城,2008-05-07,2014-08,刘云锋,,25.0,,,,,PASS,退出
301563_云汉芯城,2014-08,2015-08,丰利财富（北京）国际资本管理股份有限公司,,,,,,,PASS,新增
301563_云汉芯城,2014-08,2015-08,东方富海（上海）创业投资企业（有限合伙）,,,,,,,PASS,退出
301563_云汉芯城,2014-08,2015-08,昆山红土高新创业投资有限公司,,,,,,,PASS,新增
301563_云汉芯城,2014-08,2015-08,深圳市创新投资集团有限公司,,,,,,,PASS,新增
301563_云汉芯城,2014-08,2015-08,芜湖富海浩研创业投资基金（有限合伙）,,,,,,,PASS,退出
301563_云汉芯城,2014-08,2015-08,武汉力源信息技术股份有限公司,,,,,,,PASS,退出
301563_云汉芯城,2014-08,2015-08,富海深湾（深圳）移动创新私募创业投资基金合伙企业（有限合伙）,,,,,,,PASS,新增
301563_云汉芯城,2014-08,2015-08,镇江红土创业投资有限公司,,,,,,,PASS,新增
301563_云汉芯城,2015-08,2015-12-03,昆山红土高新创业投资有限公司,,,,,,,PASS,退出
301563_云汉芯城,2015-08,2015-12-03,曾烨,,,,,,,PASS,新增
301563_云汉芯城,2015-08,2015-12-03,深圳市创新投资集团有限公司,,,,,,,PASS,退出
301563_云汉芯城,2015-08,2015-12-03,丰利财富（北京）国际资本管理股份有限公司,,1000.0,,,,,PASS,退出
301563_云汉芯城,2015-08,2015-12-03,武汉力源信息技术股份有限公司,,,,,,,PASS,新增
301563_云汉芯城,2015-08,2015-12-03,富海深湾（深圳）移动创新私募创业投资基金合伙企业（有限合伙）,,,,,,,PASS,退出
301563_云汉芯城,2015-08,2015-12-03,镇江红土创业投资有限公司,,,,,,,PASS,退出
301563_云汉芯城,2015-08,2015-12-03,刘云锋,,,,,,,PASS,新增
301563_云汉芯城,2015-12-03,2018-06-28,曾烨,,,,,,,PASS,退出
301563_云汉芯城,2015-12-03,2018-06-28,国科瑞华（北京）创业投资合伙企业（有限合伙）,,,,,,,PASS,新增
301563_云汉芯城,2015-12-03,2018-06-28,刘云锋,,,,,,,PASS,退出
301563_云汉芯城,2015-12-03,2018-06-28,夏东,,,,,,,PASS,新增
301563_云汉芯城,2015-12-03,2018-06-28,深圳南山富海中小企业发展基金合伙企业（有限合伙）,,,,,,,PASS,新增
301563_云汉芯城,2015-12-03,2018-06-28,武汉力源信息技术股份有限公司,,,,,,,PASS,退出
301563_云汉芯城,2015-12-03,2018-06-28,珠海拓域投资合伙企业（有限合伙）,,,,,,,PASS,新增
301563_云汉芯城,2015-12-03,2018-06-28,中科贵银（贵州）创业投资中心（有限合伙）,,,,,,,PASS,新增
301563_云汉芯城,2015-12-03,2018-06-28,CASREV FUND,,,,,,,PASS,新增
301563_云汉芯城,2018-06-28,2020-05-28,CASREV FUND,,1800.0,,,,,PASS,退出
301563_云汉芯城,2018-06-28,2020-05-28,国科瑞华（北京）创业投资合伙企业（有限合伙）,,7412.0,,,,,PASS,退出
301563_云汉芯城,2018-06-28,2020-05-28,深圳南山富海中小企业发展基金合伙企业（有限合伙）,,3000.0,,,,,PASS,退出
301563_云汉芯城,2018-06-28,2020-05-28,珠海拓域投资合伙企业（有限合伙）,,1000.0,,,,,PASS,退出
301563_云汉芯城,2018-06-28,2020-05-28,火炬电子科技股份有限公司,,,,,,,PASS,新增
301563_云汉芯城,2018-06-28,2020-05-28,中科贵银（贵州）创业投资中心（有限合伙）,,1584.0,,,,,PASS,退出
301563_云汉芯城,2018-06-28,2020-05-28,夏东,,204.0,,,,,PASS,退出
301563_云汉芯城,2020-05-28,2020-09-23,火炬电子科技股份有限公司,,5000.0,,,,,PASS,退出
301563_云汉芯城,2020-05-28,2020-09-23,中小企业发展基金（深圳有限合伙）,,,,,,,PASS,新增
301563_云汉芯城,2020-05-28,2020-09-23,厦门西堤股权投资合伙企业（有限合伙）,,,,,,,PASS,新增
301581_黄山谷捷,2012-06-12,2021-04-07,张俊武,,,,,,,PASS,新增
301581_黄山谷捷,2012-06-12,2021-04-07,黄山供销集团有限公司,,,,,,,PASS,新增
301581_黄山谷捷,2012-06-12,2021-04-07,周斌,,,,,,,PASS,新增
301581_黄山谷捷,2012-06-12,2021-04-07,昆山谷捷金属制品有限公司,,1000.0,,,,,PASS,退出
301581_黄山谷捷,2021-04-07,2021-04-13,周斌,,,,,,,PASS,
301581_黄山谷捷,2021-04-07,2021-04-13,张俊武,,,,,,,PASS,
301581_黄山谷捷,2021-04-07,2021-04-13,黄山供销集团有限公司,,,,,,,PASS,
301581_黄山谷捷,2021-04-13,2021-11-11,"SAIC TECHNOLOGIES FUND II, LLC",,,,,,,PASS,新增
301581_黄山谷捷,2021-04-13,2021-11-11,上海广弘实业有限公司,,,,,,,PASS,新增
301581_黄山谷捷,2021-04-13,2021-11-11,周斌,,,,,,,PASS,退出
301581_黄山谷捷,2021-04-13,2021-11-11,张俊武,,,,,,,PASS,退出
301581_黄山谷捷,2021-04-13,2021-11-11,黄山供销集团有限公司,,,,,,,PASS,退出
301581_黄山谷捷,2021-11-11,2022-05-26,黄山佳捷股权管理中心（有限合伙）,,,,,,,PASS,新增
301581_黄山谷捷,2021-11-11,2022-05-26,"SAIC TECHNOLOGIES FUND II, LLC",,1153.0,,,,,PASS,退出
301581_黄山谷捷,2021-11-11,2022-05-26,上海广弘实业有限公司,,10377.0,,,,,PASS,退出
301581_黄山谷捷,2022-05-26,2022-09-13,"SAIC TECHNOLOGIES FUND II, LLC",,,,,,,PASS,新增
301581_黄山谷捷,2022-05-26,2022-09-13,上海广弘实业有限公司,,,,,,,PASS,新增
301581_黄山谷捷,2022-05-26,2022-09-13,周斌,,,,,,,PASS,新增
301581_黄山谷捷,2022-05-26,2022-09-13,黄山佳捷股权管理中心（有限合伙）,,2124.81,,,,,PASS,
301581_黄山谷捷,2022-05-26,2022-09-13,张俊武,,,,,,,PASS,新增
301581_黄山谷捷,2022-05-26,2022-09-13,黄山供销集团有限公司,,,,,,,PASS,新增
688775_影石创新,2015-01,2015-07-09,EARN ACE LIMITED,,,,,,,PASS,退出
688775_影石创新,2015-01,2015-07-09,北京岚锋创视网络科技有限公司,,,,,,,PASS,新增
688775_影石创新,2015-01,2015-07-09,QM101 Limited,,,,,,,PASS,退出
688775_影石创新,2015-01,2015-07-09,厦门富凯海创投资管理有限责任公司,,,,,,,PASS,退出
688775_影石创新,2015-01,2015-07-09,深圳市伊敦传媒投资基金合伙企业（有限合伙）,,,,,,,PASS,退出
688775_影石创新,2015-01,2015-07-09,香港迅雷有限公司,,,,,,,PASS,退出
688775_影石创新,2015-01,2015-07-09,深圳中证投资有限责任公司,,,,,,,PASS,退出
688775_影石创新,2015-01,2015-07-09,金石智娱股权投资（深圳）合伙企业（有限合伙）,,,,,,,PASS,退出
688775_影石创新,2015-01,2015-07-09,华金同达（深圳）投资合伙企业（有限合伙）,,,,,,,PASS,退出
688775_影石创新,2015-07-09,2020-02-26,北京岚锋创视网络科技有限公司,,1000.0,,,,,PASS,
688775_影石创新,2015-07-09,2020-02-26,EARN ACE LIMITED,,,,,,,PASS,新增
688775_影石创新,2015-07-09,2020-02-26,QM101 Limited,,,,,,,PASS,新增
688775_影石创新,2015-07-09,2020-02-26,香港迅雷有限公司,,,,,,,PASS,新增
688775_影石创新,2020-02-26,2023-03-24,北京岚锋创视网络科技有限公司,,,,,,,PASS,退出
688775_影石创新,2020-02-26,2023-03-24,EARN ACE LIMITED,,,,,,,PASS,退出
688775_影石创新,2020-02-26,2023-03-24,QM101 Limited,,,,,,,PASS,退出
688775_影石创新,2020-02-26,2023-03-24,汇智同裕（深圳）投资合伙企业（有限合伙）,,,,,,,PASS,新增
688775_影石创新,2020-02-26,2023-03-24,香港迅雷有限公司,,,,,,,PASS,退出
920100_三协电机,,2023-09-06,盛祎等15名自然人,,,321.5,1739.315,1723.09,16.225,PASS,price×shares vs amount diff=0.9%
920100_三协电机,2002-11-07,2022-08-09,深圳市稳正景明创业投资企业(有限合伙),,,,,,,PASS,新增
920100_三协电机,2002-11-07,2022-08-09,盛祎,,,,,,,PASS,退出
920100_三协电机,2002-11-07,2022-08-09,朱绶青,,,,,,,PASS,退出
920116_星图测控,2016-12-14,2017-10-25,四方股份,,1200.0,,,,,PASS,退出
920116_星图测控,2016-12-14,2017-10-25,牛威,,,,,,,PASS,新增
920116_星图测控,2016-12-14,2017-10-25,吴功友,,,,,,,PASS,新增
920116_星图测控,2016-12-14,2017-10-25,牛威(罗永红代持),,400.0,,,,,PASS,退出
920116_星图测控,2016-12-14,2017-10-25,吴功友(王金林代持),,400.0,,,,,PASS,退出
920116_星图测控,2017-10-25,2024-06-30,策星银河,,,279.0,,279.0,,PASS,新增
920116_星图测控,2017-10-25,2024-06-30,牛威,,0.0,,,,,PASS,退出
920116_星图测控,2017-10-25,2024-06-30,幸福二期,,,300.0,,300.0,,PASS,新增
920116_星图测控,2017-10-25,2024-06-30,策星揽月,,,412.5,,412.5,,PASS,新增
920116_星图测控,2017-10-25,2024-06-30,幸福一期,,,917.4219,,917.4219,,PASS,新增
920116_星图测控,2017-10-25,2024-06-30,策星九天,,,2345.0781,,2345.0781,,PASS,新增
920116_星图测控,2017-10-25,2024-06-30,吴功友,,0.0,,,,,PASS,退出
920116_星图测控,2017-10-25,2024-06-30,策星逐日,,,171.0,,171.0,,PASS,新增
920116_星图测控,2017-10-25,2024-06-30,中科星图股份有限公司,,,3825.0,,3825.0,,PASS,新增
920116_星图测控,,2024-06-30,中科星图股份有限公司 (认缴→存量),,,3825.0,3825.0,3825.0,0.0,PASS,认购数 vs 存量持股数
920116_星图测控,,2024-06-30,策星九天 (认缴→存量),,,2345.0781,2345.0781,2345.0781,0.0,PASS,认购数 vs 存量持股数
920116_星图测控,,2024-06-30,幸福一期 (认缴→存量),,,917.4219,917.4219,917.4219,0.0,PASS,认购数 vs 存量持股数
920116_星图测控,,2024-06-30,策星揽月 (认缴→存量),,,412.5,412.5,412.5,0.0,PASS,认购数 vs 存量持股数
920116_星图测控,,2024-06-30,幸福二期 (认缴→存量),,,300.0,300.0,300.0,0.0,PASS,认购数 vs 存量持股数
920116_星图测控,,2024-06-30,策星银河 (认缴→存量),,,279.0,279.0,279.0,0.0,PASS,认购数 vs 存量持股数
920116_星图测控,,2024-06-30,策星逐日 (认缴→存量),,,171.0,171.0,171.0,0.0,PASS,认购数 vs 存量持股数
