timestamp,stock_code,company_name,timeline_entries,financing_events,event_type_distribution,first_event_date,last_event_date,key_investors,status,error_msg
2026-06-07 18:42:29,688758,赛分科技,23,15,"增资:7, 整体变更:4, 股权转让:3, 改制:1",2011-10,2024-02,苏州赛分科技股份有限公司; 骏耀投资; 道兴投资; 圣成投资; 圣祁投资,success,
2026-06-07 18:42:29,688775,影石创新,13,6,"增资:3, VIE搭建:1, VIE拆除:1, 股权转让:1",2015-07,2023-06,国发创投; 江苏省苏州工业园区工商行政管理; 日为基准日整体变更为股份有限公司; 强一有限注册资本; 发行人控股,success,
2026-06-07 18:42:29,688583,思看科技,18,15,"增资:8, 设立:2, 整体变更:2, 股权转让:2, 改制:1",2015-03,2024-12,中证投资; 高级管理; 改制为股份有限公司; 万元出资认缴新增注册资本; 信息披露和投资者关系管理,success,
2026-06-07 18:42:29,688545,兴福电子,30,18,"增资:12, 整体变更:7, 改制:4, 设立:1, 股权转让:1",2020-01,2023-11,湖北兴福电子材料股份有限公司; 湖北兴福电子材料有限公司; 芯福创投; 兴昕创投; 关于同意湖北兴福电子材料有限公司,success,
2026-06-07 18:42:29,688411,海博思创,29,15,"增资:15, 股权转让:4, 设立:2, 改制:1",2011-11,2024-03,北京海博思创科技股份有限公司; 关于北京海博思创科技股份有限公司; 发行人注册资本; 关于修改北京海博思创科技股份有限公司; 有限合伙,success,
2026-06-07 18:42:29,688757,胜科纳米,30,24,"增资:14, 整体变更:6, 股权转让:5",2012-08,2024-09,同意公司以发起设立的方式整体变更成为股份有限公司; 特殊普通合伙; 审议通过了胜科有限整体变更为股份有限公司; 江苏省市场监督管理; 及实收资本,success,
2026-06-07 18:42:29,688755,汉邦科技,30,24,"增资:17, 股权转让:4, 整体变更:3, 设立:1",1998-10,2023-12,江苏汉邦科技股份有限公司; 关于江苏汉邦科技有限公司; 汉鼎投资; 禾实投资; 关于江苏汉邦科技股份有限公司,success,
2026-06-07 18:42:29,688729,屹唐股份,27,14,"增资:11, 股权转让:11, 整体变更:3",2007-04,2024-01,北京屹唐半导体科技股份有限公司; 亦庄投资; 吉慧投资; 投资基金; 公司控股,success,
2026-06-07 18:42:29,688759,必贝特,27,16,"增资:9, 整体变更:5, 改制:1, 股权转让:1, 吸收合并:1",2012-01,2025-08,广州必贝特医药股份有限公司; 有限合伙; 必贝特有限注册资本; 系由广州必贝特医药技术有限公司; 经广州市工商行政管理,success,
2026-06-07 18:42:29,688765,禾元生物,30,20,"增资:15, 股权转让:7, 整体变更:3",2007-08,2025-10,光谷生物基金; 武汉禾元生物科技股份有限公司; 实收资本; 关于武汉禾元生物科技股份有限公司; 同意将有限公司,success,
2026-06-07 18:42:29,688783,西安奕材,30,20,"增资:6, 设立:5, 吸收合并:5, 股权转让:3, 整体变更:1",2017-09,2024-09,中证投资; 轮融资投资; 北京芯动能基金; 西安奕斯伟材料科技股份有限公司; 上海综改基金,success,
2026-06-07 18:42:29,688727,恒坤新材,30,19,"增资:14, 股权转让:7, 整体变更:3, 设立:1",2005-04,2022-12,厦门恒坤新材料科技股份有限公司; 认购价格与外部投资; 信息披露和投资; 日前将其余部分注册资本; 恒坤有限设立时未全部实缴注册资本,success,
2026-06-07 18:42:29,688795,摩尔线程,23,12,"股权转让:7, 增资:6, 整体变更:3",2022-01,2025-01,招商局创投; 红杉资本; 洪泰基金; 域峰投资; 翊辰投资,success,
2026-06-07 18:42:29,688796,百奥赛图,30,13,"整体变更:5, 增资:5, 股权转让:2, 设立:1",2009-11,2025-01,医药科技股份有限公司; 北京百奥赛图基因生物技术有限公司; 国投创业深圳基金; 国投创业宁波基金; 信息披露及投资,success,
2026-06-07 18:42:29,688790,昂瑞微,22,17,"股权转让:8, 整体变更:6, 增资:6",2016-12,2025-06,北京昂瑞微电子技术股份有限公司; 代持的注册资本; 超出股本的部分计入发行人的资本; 述调整事项不影响公司整体变更时登记的注册资本; 将对股东的投资,success,
2026-06-07 18:42:29,688802,沐曦股份,15,14,"增资:10, 股权转让:3, 设立:2, 整体变更:2",2020-09,2025-03,混沌投资; 超出部分计入公司资本; 发行人注册资本; 元注册资本; 以货币出资认购发行人新增的注册资本,success,
2026-06-07 18:42:29,688807,优迅股份,26,24,"股权转让:16, 增资:5, 整体变更:3, 设立:1",2003-02,2025-01,美元注册资本; 厦门优迅芯片股份有限公司; 万元认购新增注册资本; 信息披露和投资者关系管理; 信息披露和投资,success,
2026-06-07 18:42:29,688805,健信超导,20,8,"增资:5, 设立:2, 整体变更:1, 股权转让:1",2013-12,2025-01,宁波健信超导科技股份有限公司; 凯方投资; 启益投资; 负责信息披露和投资; 健信有限取得宁波市工商行政管理,success,
2026-06-07 18:42:29,688809,强一股份,25,22,"股权转让:13, 增资:4, 整体变更:3, 吸收合并:2, 改制:1",2015-08,2024-10,国发创投; 约定各方签订的其他任何投资; 江苏省苏州工业园区工商行政管理; 日为基准日整体变更为股份有限公司; 强一有限注册资本,success,
